depot	menopause_def	set_name	model	contrast	n	estimate	se	t	p	conf_low	conf_high
subcutaneous	strict2	acute_beta_adrenergic	rin_isch_hardy_ge	post_vs_pre	157	-0.19819335424826812	0.20638939467755524	-0.9602884613228703	0.3420416477412135	-0.6027165678162764	0.20632985931974013
subcutaneous	strict2	adrenergic_receptors	base	post_vs_pre	157	-0.06699030490524403	0.08038976331792155	-0.8333188473302753	0.40596393353577553	-0.2245542410083703	0.09057363119788221
subcutaneous	strict2	adrenergic_receptors	rin_isch	post_vs_pre	157	-0.03459189121784472	0.08144353685809777	-0.4247346388960921	0.6716347131158702	-0.19422122345971635	0.1250374410240269
subcutaneous	strict2	adrenergic_receptors	rin_isch_hardy	post_vs_pre	157	0.06950093063379263	0.08829337574912326	0.7871590597155615	0.43247349854924244	-0.10355408583448895	0.24255594710207423
subcutaneous	strict2	adrenergic_receptors	rin_isch_hardy_ge	post_vs_pre	157	-0.12017769184935537	0.14048328001589772	-0.8554590399352544	0.396829101088525	-0.3955249206805149	0.15516953698180416
subcutaneous	strict2	lipolysis_core	base	post_vs_pre	157	-0.42952735053490565	0.12922710909827576	-3.3238176844786875	0.0011111648810322502	-0.6828124843675261	-0.17624221670228518
subcutaneous	strict2	lipolysis_core	rin_isch	post_vs_pre	157	-0.3440208118954896	0.12784997672741452	-2.6908163826182547	0.007931083624695925	-0.594606766281222	-0.09343485750975716
subcutaneous	strict2	lipolysis_core	rin_isch_hardy	post_vs_pre	157	-0.2205736955844333	0.14238872283379184	-1.5490952597552656	0.12353868496547132	-0.4996555923386653	0.05850820116979871
subcutaneous	strict2	lipolysis_core	rin_isch_hardy_ge	post_vs_pre	157	-0.32217457302119795	0.22998019775334733	-1.4008796242828205	0.1681086126848764	-0.7729357606177587	0.1285866145753628
subcutaneous	strict2	thermogenesis_program	base	post_vs_pre	157	-0.1699500826336349	0.0668913751469907	-2.5406875290002255	0.012059652057425384	-0.3010571779217367	-0.038842987345533125
subcutaneous	strict2	thermogenesis_program	rin_isch	post_vs_pre	157	-0.14530482065616407	0.067569329837848	-2.1504552583970376	0.033110858526950296	-0.27774070713834614	-0.012868934173981994
subcutaneous	strict2	thermogenesis_program	rin_isch_hardy	post_vs_pre	157	-0.04848736254265633	0.07314855777125802	-0.6628614974786049	0.5084715940340891	-0.19185853577432205	0.09488381068900938
subcutaneous	strict2	thermogenesis_program	rin_isch_hardy_ge	post_vs_pre	157	-0.14824104969046495	0.13640106931256007	-1.0868026947118268	0.28291131389554797	-0.41558714554308274	0.11910504616215281
