design	gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000182899.17	RPL35A	25435.100688356488	0.011622377345414233	0.060414274944078986	0.19237799934158287	0.8474461245067224	0.9855597016564185
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000111676.15	ATN1	25728.741113860266	-0.07248019557618948	0.05317005712284449	-1.3631769363860322	0.17282675412112125	0.8006406028613582
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000177575.13	CD163	25527.30299461338	0.40421699724513094	0.2240174460372431	1.8043996322408278	0.07116868067810712	0.7074565234546383
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000095637.23	SORBS1	25812.748240628927	0.18517606846318008	0.16073131672786356	1.1520845609490293	0.2492863267710617	0.849512686282855
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000173918.15	C1QTNF1	25684.798819507872	-0.07420068135533923	0.13584034208621681	-0.5462345001181212	0.5849047538307061	0.9378322381363657
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000168610.16	STAT3	25330.955800412958	-0.1483705836498882	0.0941056078753871	-1.576639129161758	0.1148785838768605	0.7382004553468192
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000143248.13	RGS5	25400.17937075462	0.07077506184264098	0.16325661208682637	0.43352033916396593	0.6646367932257504	0.9472108564033472
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000122378.14	PRXL2A	25885.962515951556	0.10266634845601107	0.1639228578217179	0.6263089225034787	0.531112335088135	0.933809574711365
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000214548.18	MEG3	24808.91454959956	-0.26269760227136135	0.13042775241821195	-2.0141235082318283	0.04399656796251719	0.6797827222183744
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000187109.15	NAP1L1	25012.61796356971	0.0019171258565396383	0.06570331134835372	0.029178527188305468	0.9767222067626308	0.9970255485010591
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000178878.13	APOLD1	25799.472626721818	0.18971734506423812	0.20012812580001288	0.9479794222118574	0.3431399301138158	0.8856443080649391
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000112715.26	VEGFA	25318.129155047976	-0.29272535092209373	0.1780899845478315	-1.6436935050857584	0.10023952823424034	0.7340640305925583
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000100243.22	CYB5R3	25033.9057222162	0.058753589428093556	0.06983949232834027	0.8412659867553454	0.4001989408968641	0.897214659466875
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000187193.9	MT1X	25057.856298170653	-0.2955094585253808	0.26533596364458345	-1.1137180744982411	0.265400152775129	0.8523976165498437
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000221869.5	CEBPD	24356.505708290482	0.01809225243825221	0.13239013973627356	0.13665860972949118	0.8913006471557156	0.990575970591378
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000132002.9	DNAJB1	23384.57361989683	-0.3458202835220361	0.25028721552441785	-1.3816937584984164	0.1670657516427545	0.7938316273346937
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000113916.18	BCL6	24424.162188153434	-0.049799961347479785	0.10742654907866517	-0.4635721967668607	0.6429542779589346	0.9464398943799699
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000136997.21	MYC	24619.570808044333	0.10562235017536446	0.18098279153398555	0.5836043818316856	0.5594865114431304	0.933809574711365
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000163661.4	PTX3	23964.523219780673	-0.2968473446432522	0.3880809599930156	-0.7649108697540704	0.444324620843705	0.9161737534627732
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000110700.7	RPS13	23752.20282200037	-0.017065816595474438	0.05875844477892501	-0.2904402364576447	0.7714794653920227	0.9735743323753201
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000115414.21	FN1	23555.228400228287	0.09269216429172657	0.15751394777213798	0.5884695647766789	0.5562171566579867	0.933809574711365
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000221983.8	UBA52	23754.626368313933	0.047013999052741236	0.06292293449135668	0.7471679353924482	0.45496219655536724	0.9189135655426751
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000136942.15	RPL35	23622.597812156015	-0.023247846854699446	0.07074331706133724	-0.3286225161670416	0.7424410270378434	0.9697040887526553
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000150093.20	ITGB1	24004.628815674434	0.03740244078611927	0.07048014022040051	0.5306805671662542	0.5956401545787882	0.942587653241237
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000174348.14	PODN	23257.57127629151	-0.08781166340436745	0.13842013498171013	-0.6343850438808651	0.5258295677385885	0.933809574711365
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000099860.9	GADD45B	24022.954750241846	-0.15137380833616304	0.20990332049466684	-0.7211596652183933	0.4708112849211028	0.9236451570460797
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000135926.15	TMBIM1	23474.726225650076	0.06412285140777974	0.1017267700456048	0.6303439240136399	0.5284695908386707	0.933809574711365
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000185201.18	IFITM2	23203.83245684332	-0.0780491121334897	0.0996290745442429	-0.7833969400049977	0.43339405252761726	0.912130592063376
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000105373.19	NOP53	23335.349340651515	0.06549872334621497	0.0763883375923518	0.8574440210461247	0.39119953951506514	0.897214659466875
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000162909.18	CAPN2	23152.08113602089	-0.08580573045000786	0.06760296789084042	-1.2692598139856779	0.20434841403089352	0.8188649647045965
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000134294.14	SLC38A2	23651.548547816677	0.03306740133943876	0.10869191519076252	0.3042305518437408	0.7609522502953177	0.9735743323753201
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000107562.17	CXCL12	23172.039737480747	-0.03986648113440713	0.15755227392967644	-0.2530365328284729	0.8002399824759027	0.9805333183956602
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000130300.9	PLVAP	23163.391979612556	0.023597448684021406	0.12377518888364246	0.19064764834416612	0.8488016568127148	0.9855597016564185
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000047849.22	MAP4	23327.760589906266	-0.00310708744606305	0.04087086439636284	-0.07602206344183791	0.9394015449018431	0.993309152983035
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000114353.17	GNAI2	23254.9717749339	0.002018103646016996	0.04622942562985163	0.04365409300508052	0.9651801327796181	0.9970255485010591
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000114867.22	EIF4G1	23340.052341034472	-0.003937521424205844	0.07252460443302743	-0.05429221510393668	0.9567023518542396	0.9966083720343584
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000169045.17	HNRNPH1	23305.457612117913	-0.003136412647523015	0.04382893038127626	-0.07156032830915016	0.9429518125187629	0.993309152983035
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000103196.12	CRISPLD2	23439.370951358273	-0.19675416493045553	0.21270833769190114	-0.9249950757240436	0.35496846890202377	0.8887262551005104
