depot	sex	age_bin_label	family	gene	n	mean_vst	sd_vst
visceral	Male	40-49	alpha2	ADRA2B	54	9.58399220579146	0.8869447939153321
visceral	Male	40-49	alpha2	ADRA2C	54	9.565264760172415	1.0111723113285782
visceral	Male	50-59	beta	ADRB1	142	8.743077700162555	1.2010309978422493
visceral	Male	50-59	beta	ADRB2	142	10.90603128172697	0.8671000583996684
visceral	Male	50-59	beta	ADRB3	142	5.53205757008852	0.9737896540279043
visceral	Male	50-59	alpha2	ADRA2A	142	11.83285984943616	1.0910381820116912
visceral	Male	50-59	alpha2	ADRA2B	142	9.475608303757609	0.8568037588088093
visceral	Male	50-59	alpha2	ADRA2C	142	9.568459143009985	1.1215873483459071
visceral	Male	60-69	beta	ADRB1	125	8.578252662999361	1.09587373197812
visceral	Male	60-69	beta	ADRB2	125	10.854621201471163	0.9347715854754708
visceral	Male	60-69	beta	ADRB3	125	5.317294044149608	1.0267358875479757
visceral	Male	60-69	alpha2	ADRA2A	125	11.637043371170824	1.1656282078863502
visceral	Male	60-69	alpha2	ADRA2B	125	9.198917037367861	0.7317253433719483
visceral	Male	60-69	alpha2	ADRA2C	125	9.124592513008803	0.9744844698029782
visceral	Male	70-79	beta	ADRB1	17	8.378261811204512	1.1829984023844866
visceral	Male	70-79	beta	ADRB2	17	10.320602790828309	1.2546901271231756
visceral	Male	70-79	beta	ADRB3	17	5.159478680485853	0.6277290282993955
visceral	Male	70-79	alpha2	ADRA2A	17	10.947343422449034	1.184484225018132
visceral	Male	70-79	alpha2	ADRA2B	17	9.420480418816204	0.7150919991048759
visceral	Male	70-79	alpha2	ADRA2C	17	9.154332602413316	1.1381342810565807
visceral	Female	20-29	beta	ADRB1	18	8.938461200248412	0.9205288865179808
visceral	Female	20-29	beta	ADRB2	18	10.373890227859038	0.5498389902918712
visceral	Female	20-29	beta	ADRB3	18	6.856393778300775	1.3039603771285346
visceral	Female	20-29	alpha2	ADRA2A	18	12.605403374902773	1.2142918865633865
visceral	Female	20-29	alpha2	ADRA2B	18	9.457014197357136	0.7926497387206877
visceral	Female	20-29	alpha2	ADRA2C	18	9.77021662518277	0.9211979802850846
visceral	Female	30-39	beta	ADRB1	18	8.927457234387772	1.2783603965549628
