var1	var2	r
t_cell	ACVR1C	-0.12596077658787508
t_cell	TNF	0.031167309184292304
t_cell	IKBKE	0.053337288096164656
t_cell	TBK1	0.23914690356209495
t_cell	PDE3B	-0.04617856087108612
t_cell	adipocyte	-0.20624456815931216
t_cell	aspc	-0.18534585977466347
t_cell	endothelial	0.04056003799268364
t_cell	macrophage	-0.07961379439546122
t_cell	t_cell	1
t_cell	nk_cell	-0.3237688766692615
t_cell	mast_cell	NA
nk_cell	inflammation_cytokines	-0.07015586162708977
nk_cell	macrophage_markers	-0.23043166804236087
nk_cell	fibrosis	-0.15298309478220612
nk_cell	senescence	-0.1610363010864477
nk_cell	review:tgfb_alk7_axis	-0.1518934751159641
nk_cell	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	-0.18375445909726418
nk_cell	ADRB2	0.0734623338440598
nk_cell	ADRB3	0.0029887859356387187
nk_cell	TGFB1	-0.08246010073846695
nk_cell	ACVR1C	-0.09974996746427289
nk_cell	TNF	0.01968459144050744
nk_cell	IKBKE	0.03148056180019636
nk_cell	TBK1	-0.1632574624480596
nk_cell	PDE3B	-0.14687756639162902
nk_cell	adipocyte	-0.09231465865685279
nk_cell	aspc	-0.07090167260829165
nk_cell	endothelial	0.2368727451312002
nk_cell	macrophage	-0.3002322602212349
nk_cell	t_cell	-0.3237688766692615
nk_cell	nk_cell	1
nk_cell	mast_cell	NA
mast_cell	inflammation_cytokines	NA
mast_cell	macrophage_markers	NA
mast_cell	fibrosis	NA
mast_cell	senescence	NA
mast_cell	review:tgfb_alk7_axis	NA
mast_cell	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	NA
mast_cell	ADRB2	NA
mast_cell	ADRB3	NA
mast_cell	TGFB1	NA
mast_cell	ACVR1C	NA
mast_cell	TNF	NA
mast_cell	IKBKE	NA
mast_cell	TBK1	NA
mast_cell	PDE3B	NA
mast_cell	adipocyte	NA
mast_cell	aspc	NA
mast_cell	endothelial	NA
mast_cell	macrophage	NA
mast_cell	t_cell	NA
mast_cell	nk_cell	NA
mast_cell	mast_cell	NA
