depot	sex	set_name	category	fraction	rho	p	n
visceral	Female	tgfb_alk7_axis	catecholamine_resistance	adipocyte	-0.12568576090327718	0.09272852777017955	180
visceral	Female	tgfb_alk7_axis	catecholamine_resistance	aspc	0.08739775919009846	0.24310821780715933	180
visceral	Female	tgfb_alk7_axis	catecholamine_resistance	macrophage	-0.028389823533345144	0.7051987059261482	180
visceral	Female	tgfb_alk7_axis	catecholamine_resistance	endothelial	0.20148358488430712	0.006765165263304732	180
visceral	Female	tgfb_alk7_axis	catecholamine_resistance	t_cell	0.20524501785034516	0.005787595262331953	180
visceral	Female	tnf_ikk_tbk_pde3b_axis	catecholamine_resistance	adipocyte	-0.08015071258708165	0.28481522325123887	180
visceral	Female	tnf_ikk_tbk_pde3b_axis	catecholamine_resistance	aspc	-0.1717748490179738	0.021230706317112054	180
visceral	Female	tnf_ikk_tbk_pde3b_axis	catecholamine_resistance	macrophage	0.16903437150230027	0.023305882965998313	180
visceral	Female	tnf_ikk_tbk_pde3b_axis	catecholamine_resistance	endothelial	0.007234791197259175	0.9231443460913393	180
visceral	Female	tnf_ikk_tbk_pde3b_axis	catecholamine_resistance	t_cell	0.2317458357768244	0.0017898102969180468	180
visceral	Female	lipolysis_nodes	metabolism	adipocyte	0.931450812127127	4.512775812290801e-80	180
visceral	Female	lipolysis_nodes	metabolism	aspc	-0.6024712696893937	0	180
visceral	Female	lipolysis_nodes	metabolism	macrophage	0.20801919404798103	0.005076377528910925	180
visceral	Female	lipolysis_nodes	metabolism	endothelial	-0.41467946541559925	9.911493646791444e-9	180
visceral	Female	lipolysis_nodes	metabolism	t_cell	-0.32205520746525096	1.1606910562806149e-5	180
visceral	Female	thermogenesis_nodes	metabolism	adipocyte	0.41834896623844137	5.0994409678044785e-9	180
visceral	Female	thermogenesis_nodes	metabolism	aspc	-0.2653806187433768	3.3271514444677315e-4	180
visceral	Female	thermogenesis_nodes	metabolism	macrophage	0.018587031671863933	0.8044011264570625	180
visceral	Female	thermogenesis_nodes	metabolism	endothelial	-0.12908423099478378	0.08416985324313037	180
visceral	Female	thermogenesis_nodes	metabolism	t_cell	-0.07908063006059858	0.2910171756669747	180
