PC	covar	n	r	p
PC141	SMRIN	1301	-0.0015927834561483528	0.9542301306161727
PC141	SMTSISCH	1301	-0.05647459828391796	0.04168300851784705
PC142	SMRIN	1301	0.016452441418734934	0.5532487266895599
PC142	SMTSISCH	1301	-0.014176761211079204	0.6094343116643204
PC143	SMRIN	1301	0.009471142899328098	0.7328796205636856
PC143	SMTSISCH	1301	-2.7102512916173024e-4	0.9922077349083247
PC144	SMRIN	1301	-0.022692936119969007	0.41344934638780584
PC144	SMTSISCH	1301	-0.012057316052998422	0.6639271063962436
PC145	SMRIN	1301	0.02691073424852489	0.3320983020600663
PC145	SMTSISCH	1301	-0.006823129388642316	0.805781064614608
PC146	SMRIN	1301	0.004563039614443077	0.869393710501988
PC146	SMTSISCH	1301	-0.019636392637184346	0.47915649748891087
PC147	SMRIN	1301	-0.023582124057701846	0.3953845146101752
PC147	SMTSISCH	1301	0.024367489957640348	0.3798320711835852
PC148	SMRIN	1301	-0.003721035632232413	0.8933338644812481
PC148	SMTSISCH	1301	-0.027467530729083076	0.3221881985748209
PC149	SMRIN	1301	0.00922484172554445	0.7395709760087791
PC149	SMTSISCH	1301	0.016605775088038337	0.5495560570417931
PC150	SMRIN	1301	-0.03980060116668718	0.15135222325228884
PC150	SMTSISCH	1301	0.004568037915978265	0.8692519311780514
PC151	SMRIN	1301	-0.005441631071045647	0.8445404807791126
PC151	SMTSISCH	1301	-0.04436716048333581	0.10969949638738478
PC152	SMRIN	1301	-0.0213122817030748	0.442446159048544
PC152	SMTSISCH	1301	0.020435802743753756	0.4614416356333678
PC153	SMRIN	1301	0.013296763389183263	0.631820431406378
PC153	SMTSISCH	1301	0.00959188596964965	0.7296067044106457
PC154	SMRIN	1301	0.0011445484190179883	0.9671017909252141
PC154	SMTSISCH	1301	0.0032656630458862946	0.906323176090147
PC155	SMRIN	1301	-0.017504111387091244	0.5281687869448977
PC155	SMTSISCH	1301	-0.007736396871527407	0.780411388383369
PC156	SMRIN	1301	-0.025006298425723227	0.3674630896323433
PC156	SMTSISCH	1301	0.0037932438975733663	0.8912766851102376
PC157	SMRIN	1301	0.013362602570347706	0.6301334937433416
