gene_id,gene_symbol
ENSG00000201724.1,Y_RNA
ENSG00000201741.1,Y_RNA
ENSG00000201749.1,Y_RNA
ENSG00000201774.1,Y_RNA
ENSG00000201778.1,Y_RNA
ENSG00000201786.1,Y_RNA
ENSG00000201788.1,Y_RNA
ENSG00000201800.1,Y_RNA
ENSG00000201820.1,Y_RNA
ENSG00000201830.1,Y_RNA
ENSG00000201843.1,Y_RNA
ENSG00000201850.1,Y_RNA
ENSG00000201860.1,Y_RNA
ENSG00000201867.1,Y_RNA
ENSG00000201868.1,Y_RNA
ENSG00000201881.1,Y_RNA
ENSG00000201884.1,Y_RNA
ENSG00000201885.1,Y_RNA
ENSG00000201892.1,Y_RNA
ENSG00000201913.1,Y_RNA
ENSG00000201916.1,Y_RNA
ENSG00000201933.1,Y_RNA
ENSG00000201938.1,Y_RNA
ENSG00000201959.1,Y_RNA
ENSG00000201965.1,Y_RNA
ENSG00000201984.1,Y_RNA
ENSG00000201987.1,Y_RNA
ENSG00000201988.2,Y_RNA
ENSG00000201990.1,Y_RNA
ENSG00000202001.2,Y_RNA
ENSG00000202008.1,Y_RNA
ENSG00000202014.1,Y_RNA
ENSG00000202019.1,Y_RNA
ENSG00000202021.1,Y_RNA
ENSG00000202027.1,Y_RNA
