PC,n_age,r_age,p_age,n_sex,r_sex,p_sex,lm_n,lm_beta_age_mid,lm_p_age_mid,lm_beta_sex_num,lm_p_sex_num,scope
PC419,1301,0.021571282493877086,0.4369196898849954,1301,4.036188437681686e-4,0.9883957468383621,1301,0.0018439294585090335,0.4355044790411723,-0.0012156491897610767,0.9852145147811151,both_depots
PC420,1301,-0.009013285694923644,0.7453341817945582,1301,4.6042701003967364e-4,0.9867626227552031,1301,-7.527556777398916e-4,0.7498846635589524,0.00153320707517908,0.9813284356854634,both_depots
PC421,1301,-0.007819308127690196,0.7781192750978306,1301,-8.243889251040661e-4,0.9763010336309024,1301,-6.518120586795563e-4,0.7820340805179031,-0.0014489032967850938,0.982314914512282,both_depots
PC422,1301,-0.019212798652878973,0.4886915188323341,1301,-3.218819951395323e-4,0.990745605421743,1301,-0.0016243309980153255,0.49017909163564555,9.02484572159431e-4,0.9889741029371814,both_depots
PC423,1301,-0.0017835099823495478,0.9487565858677902,1301,-2.9943990975919943e-4,0.9913908094525441,1301,-1.3496082840214543e-4,0.9542445241942756,-9.14285618722182e-4,0.9888221079693003,both_depots
PC424,1301,0.001216103810039102,0.9650463219720735,1301,0.0017503344783342304,0.949708503284728,1301,9.443536189346487e-5,0.9679213646469034,0.004063123828872883,0.9502726753364706,both_depots
PC425,1301,-0.0207248728401904,0.45512698436149723,1301,-0.001947706347451595,0.9440463385009322,1301,-0.0017576323679985941,0.4531757111889375,-0.0023177157300707553,0.9715565166962605,both_depots
PC426,1301,-0.009439720201791353,0.7337321773181438,1301,5.063415660000145e-4,0.9854427089063554,1301,-8.027404289227209e-4,0.7311913195055354,0.002199459449363968,0.9729352120137302,both_depots
PC427,1301,-0.04151559834670219,0.13448496035050742,1301,0.0012544908746846151,0.9639437266322135,1301,-0.003498841662541993,0.13351567051590513,0.006830430096451409,0.9158867085479867,both_depots
PC428,1301,-0.010852732925133028,0.6957332501592379,1301,-0.003092311879648468,0.911274722674131,1301,-9.037845376218135e-4,0.6983990362352845,-0.006176641511063542,0.9239584770510623,both_depots
PC429,1301,-0.02805138223822304,0.31200576540873826,1301,-1.23768104286181e-4,0.9964414886487534,1301,-0.0023596675968839847,0.31136463316547913,0.0023588110031629466,0.9708977669463488,both_depots
PC430,1301,-0.020151217919751784,0.46770577185607165,1301,-0.0027620870005715392,0.9207165286558849,1301,-0.0016882547510477155,0.46714152386464347,-0.00430566969493815,0.9467035262740278,both_depots
PC431,1301,-0.016958830691407106,0.5410999894113631,1301,0.001784346230304146,0.9487325920237979,1301,-0.00142160551720488,0.5403047590847523,0.005608152164021506,0.9306122731062556,both_depots
PC432,1301,0.018645578229929044,0.5016178473244122,1301,-0.0017398945501608035,0.9500080750290021,1301,0.0015594376105627532,0.5010607016138298,-0.005634088406805264,0.930177410715205,both_depots
PC433,1301,0.005718787662897663,0.8367311379778092,1301,-5.065270721187301e-4,0.9854373762074944,1301,4.7249976767302566e-4,0.8383400254385796,-0.0015333391975420197,0.9809618747880302,both_depots
PC434,1301,-0.011013166548950874,0.691464608768787,1301,8.536154969367852e-4,0.9754611083401756,1301,-9.084554278082026e-4,0.6947333318435585,0.002652691835315711,0.9670539098978046,both_depots
PC435,1301,-0.024879207576503064,0.3699037142153806,1301,-0.0012191946525618041,0.964957540906451,1301,-0.002058267461756205,0.37309914832853186,-8.079944320602558e-4,0.9899435849078329,both_depots
PC436,1301,0.007089359460742532,0.7983630462544833,1301,-0.002385000924876264,0.9315117834675171,1301,6.040472620979736e-4,0.7933619058685237,-0.006315347879164633,0.9213680223453283,both_depots
PC437,1301,0.0037512734082681474,0.8924723164749697,1301,-0.0016239471778665543,0.9533356276372167,1301,3.0614106470897744e-4,0.8942447674277839,-0.003820411525261935,0.9523208078923048,both_depots
PC438,1301,0.019759035920369115,0.47641487819499706,1301,0.004188841177465671,0.8800196339871799,1301,0.0016272707544707295,0.4794403780657661,0.0077988059889294884,0.9027628717726683,both_depots
PC439,1301,0.032746117942776716,0.23787563265441972,1301,6.367849023233268e-4,0.9816930605088017,1301,0.0027100737593321413,0.23810003671120714,-0.0015020749571195567,0.9811923355715004,both_depots
PC440,1301,-0.01481961037044954,0.5933071898978164,1301,6.892823502473309e-4,0.9801841087050052,1301,-0.0012325746506670638,0.5908000395950658,0.003059629455590724,0.961629977709461,both_depots
PC441,1301,-0.02155662385046525,0.4372314069936083,1301,0.0014289825684532004,0.9589326842602284,1301,-0.0017929426668409352,0.43378243178063425,0.005422474957339988,0.9319969272156896,both_depots
PC442,1301,0.0012591348444006734,0.963810342072297,1301,9.036254029118807e-4,0.9740239665603202,1301,1.0151078260566142e-4,0.9646217543895299,0.0019402827041997946,0.9756228796471603,both_depots
PC443,1301,-0.012071865097133688,0.6635464802600571,1301,-0.001586480444818795,0.9544110551474134,1301,-9.979651189109301e-4,0.66219597676322,-0.002313473997822512,0.9708799185736705,both_depots
PC444,1301,-0.01005146043859718,0.7171946741539077,1301,-5.801298509625103e-4,0.9833215889512981,1301,-8.244541372326607e-4,0.7180811738866781,-4.4643725588782725e-4,0.9943779293359869,both_depots
PC445,1301,-0.015253597847705412,0.582531395913249,1301,0.0030544438445820206,0.9123568378963728,1301,-0.00125864956807934,0.5808419486417695,0.008219290034178886,0.896592503119243,both_depots
PC446,1301,-0.003278460373791336,0.9059577790830022,1301,0.0010479274582317827,0.9698776264530633,1301,-2.715584863444752e-4,0.9050003757841824,0.0026608264495104755,0.9663801376952716,both_depots
PC447,1301,0.009914696412691838,0.7208807340507706,1301,0.001325578047790456,0.9619020663611315,1301,8.150641305191299e-4,0.7201223977556952,0.001970513448427805,0.9750926689219379,both_depots
PC448,1301,-0.020005228371950005,0.4709373952580532,1301,7.242748068925602e-4,0.9791783477546382,1301,-0.0016460732992191085,0.4685914728465338,0.0035798498890943,0.9546908372391265,both_depots
PC449,1301,0.01491586831824545,0.5909092726466101,1301,-3.345367751722072e-4,0.9903817864745819,1301,0.0012195847459901103,0.5908598584108216,-0.0020614108159889614,0.9738718302364957,both_depots
PC450,1301,0.021326514469612055,0.4421414318649286,1301,0.0039317938245537224,0.8873315209307031,1301,0.001732511412883555,0.44466164560718546,0.0069453533975487374,0.9120508335690667,both_depots
PC451,1301,0.02313165370227699,0.40447604256975866,1301,-7.824170526483572e-4,0.977507284311359,1301,0.0018886881325785715,0.4045291524543233,-0.003758164073481245,0.9523229006144085,both_depots
PC452,1301,0.011941485673997415,0.6669604963896472,1301,-4.5185832412034056e-4,0.9870089523981735,1301,9.807508351342665e-4,0.6647311099749655,-0.002215601286478581,0.9718488439563762,both_depots
PC453,1301,0.006496257591648532,0.8149126188806436,1301,-7.90922762157666e-4,0.9772628302221726,1301,5.253513678234406e-4,0.8159921538283972,-0.002220198071278255,0.9717241608160769,both_depots
PC454,1301,0.00948775719415158,0.732428976489917,1301,-0.0025444532510244485,0.9269453157929337,1301,7.66302175875971e-4,0.7341595734334941,-0.006251436551081457,0.9204591149901189,both_depots
PC455,1301,-0.033359128968623926,0.22920042382157393,1301,-4.719067183327406e-4,0.9864326100194658,1301,-0.0026951961087818667,0.23156965903170937,0.001578060366382009,0.9798528044298633,both_depots
PC456,1301,0.010412443637906813,0.707497210343649,1301,7.71834750198037e-4,0.9778114226241799,1301,8.34398483789853e-4,0.7107244064960596,9.987154376134213e-4,0.9872339358121074,both_depots
PC457,1301,0.0022011625895729256,0.9367794153253903,1301,8.725868033290949e-4,0.9749159175908213,1301,1.7872936183433263e-4,0.9366129987673839,0.0016872821404384207,0.9784118480874433,both_depots
PC458,1301,0.03162057327381358,0.2544016884509002,1301,9.195827161168419e-4,0.9735654164853227,1301,0.00256294876361815,0.25380833650688783,-8.66054784918187e-4,0.9889082284962976,both_depots
PC459,1301,-0.008688417560928816,0.7542119149322649,1301,0.003478357045709096,0.9002528383491822,1301,-7.099631258403157e-4,0.7519234746895328,0.008469982099688227,0.891879896476131,both_depots
PC460,1301,0.016288371249513923,0.5572133634128262,1301,0.001401446163502205,0.9597233705321881,1301,0.0013259982177801267,0.5539755843518388,0.0013364315519049555,0.9828468922303661,both_depots
PC461,1301,-0.021651120679604053,0.43522417088950394,1301,-4.0130714032196444e-4,0.9884622048824987,1301,-0.0017555815193264687,0.43253156380488933,0.0012815229415504262,0.9835229079136871,both_depots
PC462,1301,-0.004245227416387376,0.8784170324528497,1301,7.693249986625286e-4,0.9778835540549955,1301,-3.34670728364228e-4,0.880980135358982,0.001852319166092766,0.9761716805058313,both_depots
PC463,1301,-0.0164097042427477,0.5542801082884287,1301,0.003412062159863748,0.9021443021901355,1301,-0.001327825296397873,0.5523489948107875,0.008952410172056268,0.8851733840803105,both_depots
PC464,1301,-0.010517641998291914,0.7046799711959144,1301,5.439596916836372e-4,0.9843613235035862,1301,-8.351868041059928e-4,0.7079463768502718,0.0018471655906252072,0.9761760576703311,both_depots
PC465,1301,0.01577930262348083,0.5696018686969155,1301,-8.938649363555023e-4,0.9743044480060243,1301,0.001282468117878171,0.5647499080600448,-0.00368938635643513,0.9523889592206143,both_depots
PC466,1301,-0.03771053566437401,0.17402886136278314,1301,0.0018395826020666283,0.9471478395401556,1301,-0.0030280606334951656,0.17316058168349363,0.007381474649052652,0.9047051256361381,both_depots
PC467,1301,-0.0051971398313188965,0.8514421421566507,1301,0.0026889922968703186,0.922808013160618,1301,-4.1527878999139255e-4,0.851726195394807,0.00619777496035435,0.9199110336024807,both_depots
PC468,1301,-0.003168792863410758,0.909089708802391,1301,-6.004519847811812e-4,0.9827374284126126,1301,-2.502505256396512e-4,0.9102199481942842,-0.0010885117076461833,0.9858956093102009,both_depots
