PC	covar	n	p
PC128	SMNABTCH	1301	0.8578961533822125
PC128	SMGEBTCH	1301	0.020710510853957437
PC129	SMCENTER	1301	0.13032071548233204
PC129	SMNABTCH	1301	0.004088231151975872
PC129	SMGEBTCH	1301	0.0012466559875817492
PC130	SMCENTER	1301	0.07846946874000948
PC130	SMNABTCH	1301	0.3773244134570689
PC130	SMGEBTCH	1301	3.780054355184522e-5
PC131	SMCENTER	1301	0.39006112930989095
PC131	SMNABTCH	1301	0.4516586568604054
PC131	SMGEBTCH	1301	0.06843264256528582
PC132	SMCENTER	1301	0.08582033871095704
PC132	SMNABTCH	1301	0.4899965004444692
PC132	SMGEBTCH	1301	0.14402620403483457
PC133	SMCENTER	1301	0.76049662278273
PC133	SMNABTCH	1301	0.5869642649741835
PC133	SMGEBTCH	1301	2.8311581153595533e-5
PC134	SMCENTER	1301	0.08078483188570137
PC134	SMNABTCH	1301	0.04503345836568434
PC134	SMGEBTCH	1301	0.008360589653839736
PC135	SMCENTER	1301	0.45728580995794
PC135	SMNABTCH	1301	0.03701997495231058
PC135	SMGEBTCH	1301	1.6069349664264894e-5
PC136	SMCENTER	1301	0.778578523825056
PC136	SMNABTCH	1301	0.013526088969963488
PC136	SMGEBTCH	1301	0.7087830890495004
PC137	SMCENTER	1301	0.7298584426320855
PC137	SMNABTCH	1301	0.05953164881893946
PC137	SMGEBTCH	1301	0.001288417608421704
PC138	SMCENTER	1301	0.21397692623829306
PC138	SMNABTCH	1301	0.01931674745429036
PC138	SMGEBTCH	1301	0.013408543686323772
PC139	SMCENTER	1301	0.15315137444495394
PC139	SMNABTCH	1301	0.6767778593410239
PC139	SMGEBTCH	1301	0.002900717507919803
PC140	SMCENTER	1301	0.8913650112536908
PC140	SMNABTCH	1301	0.7821677026308465
PC140	SMGEBTCH	1301	0.015173965246265972
PC141	SMCENTER	1301	0.4147369133889586
PC141	SMNABTCH	1301	5.824126299455833e-5
PC141	SMGEBTCH	1301	4.724581183264331e-5
