PC,covar,n,p
PC352,SMCENTER,1301,0.2914708939118572
PC353,SMCENTER,1301,0.5268714667642723
PC354,SMCENTER,1301,0.7535141716658604
PC355,SMCENTER,1301,0.5799574681223446
PC356,SMCENTER,1301,0.5256783801595741
PC357,SMCENTER,1301,0.4997395427996495
PC358,SMCENTER,1301,0.6034534293286935
PC359,SMCENTER,1301,0.634286097175599
PC360,SMCENTER,1301,0.02620426524491328
PC361,SMCENTER,1301,0.7529783982796561
PC362,SMCENTER,1301,0.6380134559137034
PC363,SMCENTER,1301,0.9214603017296386
PC364,SMCENTER,1301,0.9060338504522666
PC365,SMCENTER,1301,0.8283779258283183
PC366,SMCENTER,1301,0.47172525879280475
PC367,SMCENTER,1301,0.986290939786842
PC368,SMCENTER,1301,0.5500115718810317
PC369,SMCENTER,1301,0.5439478564387208
PC370,SMCENTER,1301,0.006419336440484163
PC371,SMCENTER,1301,0.9009275795044607
PC372,SMCENTER,1301,0.2686592557387757
PC373,SMCENTER,1301,0.07707717524322236
PC374,SMCENTER,1301,0.8177869631581575
PC375,SMCENTER,1301,0.0620557794954525
PC376,SMCENTER,1301,0.4097584771522819
PC377,SMCENTER,1301,0.20451907128748026
PC378,SMCENTER,1301,0.06316157915280261
PC379,SMCENTER,1301,0.9703361068815408
PC380,SMCENTER,1301,0.8145527021651519
PC381,SMCENTER,1301,0.791429904788969
PC382,SMCENTER,1301,0.6863771651724908
PC383,SMCENTER,1301,0.5746569220142264
PC384,SMCENTER,1301,0.6772058880979925
PC385,SMCENTER,1301,0.002397680199174333
PC386,SMCENTER,1301,0.9335073742832392
PC387,SMCENTER,1301,0.38176120299017735
PC388,SMCENTER,1301,0.4968862647528076
PC389,SMCENTER,1301,0.5663993850777416
PC390,SMCENTER,1301,0.9145649306501353
PC391,SMCENTER,1301,0.3142028366433171
PC392,SMCENTER,1301,0.3476448143123064
PC393,SMCENTER,1301,0.116446190062072
PC394,SMCENTER,1301,0.04354427595336975
PC395,SMCENTER,1301,0.1978415040214662
PC396,SMCENTER,1301,0.4328199053333742
PC397,SMCENTER,1301,0.9232486152739874
PC398,SMCENTER,1301,0.8345471769986104
PC399,SMCENTER,1301,0.32855739052795896
PC400,SMCENTER,1301,0.9468226046290684
PC401,SMCENTER,1301,0.6679406482040827
PC402,SMCENTER,1301,0.9610698201274812
PC403,SMCENTER,1301,0.7246780665081709
PC404,SMCENTER,1301,0.04845231075898173
PC405,SMCENTER,1301,0.2070785552440883
PC406,SMCENTER,1301,0.7464709835116379
PC407,SMCENTER,1301,0.30036009400199065
PC408,SMCENTER,1301,0.785300210870555
PC409,SMCENTER,1301,0.15037985078346613
PC410,SMCENTER,1301,0.6116415631285949
PC411,SMCENTER,1301,0.7285313580372899
PC412,SMCENTER,1301,0.6992903526342293
PC413,SMCENTER,1301,0.06772526770301332
PC414,SMCENTER,1301,0.9539585047544743
PC415,SMCENTER,1301,5.6158294904095827e-5
PC416,SMCENTER,1301,0.9145858538523516
PC417,SMCENTER,1301,0.5977839684441931
PC418,SMCENTER,1301,0.4274925222551502
PC419,SMCENTER,1301,0.07145740574153404
PC420,SMCENTER,1301,0.11611571401666529
PC421,SMCENTER,1301,0.5769901704825335
PC422,SMCENTER,1301,0.4313748514286789
PC423,SMCENTER,1301,0.9285169644777774
PC424,SMCENTER,1301,0.6595652277415041
PC425,SMCENTER,1301,0.07265502921370062
PC426,SMCENTER,1301,0.7531931034803926
PC427,SMCENTER,1301,0.45501196558368034
PC428,SMCENTER,1301,0.4762863056480804
PC429,SMCENTER,1301,0.4047755310098288
PC430,SMCENTER,1301,0.40994183948633434
PC431,SMCENTER,1301,0.7236960971600028
PC432,SMCENTER,1301,0.7238737103626964
PC433,SMCENTER,1301,0.026408704271829612
PC434,SMCENTER,1301,0.34722343931641136
PC435,SMCENTER,1301,0.11390108475221938
PC436,SMCENTER,1301,0.985662450583676
PC437,SMCENTER,1301,0.266526276354556
PC438,SMCENTER,1301,0.10392728789532138
PC439,SMCENTER,1301,0.885584291431051
PC440,SMCENTER,1301,0.4750127723950379
PC441,SMCENTER,1301,0.7506779692478016
PC442,SMCENTER,1301,0.13863576219556656
