gs_name	gs_collection	gs_subcollection	gs_collection_name	n_genes
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	C5	GO:BP	GO Biological Process	15
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	C5	GO:BP	GO Biological Process	14
LI_ESTROGENE_MID_E2_RESPONSE_UP	C2	CGP	Chemical and Genetic Perturbations	14
MALIK_REPRESSED_BY_ESTROGEN	C2	CGP	Chemical and Genetic Perturbations	13
WP_ESTROGEN_RECEPTOR_PATHWAY	C2	CP:WIKIPATHWAYS	WikiPathways	13
GOBP_PROGESTERONE_RECEPTOR_SIGNALING_PATHWAY	C5	GO:BP	GO Biological Process	12
HP_ABNORMAL_MUSCLE_FIBER_ALPHA_DYSTROGLYCAN	C5	HPO	Human Phenotype Ontology	12
GOBP_ESTROGEN_BIOSYNTHETIC_PROCESS	C5	GO:BP	GO Biological Process	11
GOMF_ESTROGEN_RESPONSE_ELEMENT_BINDING	C5	GO:MF	GO Molecular Function	11
KEGG_MEDICUS_REFERENCE_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY	C2	CP:KEGG_MEDICUS	KEGG Medicus Pathways	11
WILLIAMS_ESR2_TARGETS_DN	C2	CGP	Chemical and Genetic Perturbations	11
GOMF_ESTROGEN_2_HYDROXYLASE_ACTIVITY	C5	GO:MF	GO Molecular Function	9
HP_INCREASED_SERUM_ESTRADIOL	C5	HPO	Human Phenotype Ontology	9
KEGG_MEDICUS_REFERENCE_MEMBRANE_INITIATED_PROGESTERONE_SIGNALING_PATHWAY	C2	CP:KEGG_MEDICUS	KEGG Medicus Pathways	9
GOMF_ESTROGEN_16_ALPHA_HYDROXYLASE_ACTIVITY	C5	GO:MF	GO Molecular Function	8
LI_ESTROGENE_NON_MCF7_T47D_E2_RESPONSE_DN	C2	CGP	Chemical and Genetic Perturbations	8
GOBP_PROGESTERONE_BIOSYNTHETIC_PROCESS	C5	GO:BP	GO Biological Process	7
KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY	C2	CP:KEGG_MEDICUS	KEGG Medicus Pathways	7
