depot	comparison	score_name	model	effect	n	estimate	se	t	p	padj_within
subcutaneous	30-39_vs_60-69	lipolysis_core	base	female_old_vs_young	293	-0.5028577524640043	0.20799978995589502	-2.4175877897310953	0.016246857947775528	0.1787154374255308
subcutaneous	30-39_vs_60-69	lipolysis_core	base	sex_interaction_female_minus_male	293	-0.017018440797393262	0.24281482755285547	-0.07008814481763359	0.9441723130984723	1
subcutaneous	30-39_vs_60-69	lipolysis_core	tech	male_old_vs_young	293	-0.32228389414979425	0.12401229561545117	-2.5988059696045145	0.009841666080568195	0.10825832688625014
subcutaneous	30-39_vs_60-69	lipolysis_core	tech	female_old_vs_young	293	-0.3439744748424538	0.19927970688003488	-1.7260888237331875	0.0854151990028181	0.9395671890309991
subcutaneous	30-39_vs_60-69	lipolysis_core	tech	sex_interaction_female_minus_male	293	-0.021690580692659542	0.22970989492766367	-0.09442597455146619	0.9248371351441164	1
subcutaneous	30-39_vs_60-69	lipolysis_core	tech_comp	male_old_vs_young	293	-0.02328914759023253	0.03135968062745236	-0.7426461980561478	0.45831407468854524	1
subcutaneous	30-39_vs_60-69	lipolysis_core	tech_comp	female_old_vs_young	293	-0.028326828739907176	0.04977812807199885	-0.5690617513566477	0.5697671823808661	1
subcutaneous	30-39_vs_60-69	lipolysis_core	tech_comp	sex_interaction_female_minus_male	293	-0.005037681149674645	0.05711277125791741	-0.08820586076842284	0.929775664452156	1
subcutaneous	30-39_vs_60-69	thermogenesis_program	base	male_old_vs_young	293	-0.13733884163812773	0.0647689341268372	-2.1204431335735228	0.03482639563488968	0.1741319781744484
subcutaneous	30-39_vs_60-69	thermogenesis_program	base	female_old_vs_young	293	-0.27555387102372697	0.10576986066496666	-2.605221083693803	0.009660168554762004	0.11592202265714405
subcutaneous	30-39_vs_60-69	thermogenesis_program	base	sex_interaction_female_minus_male	293	-0.13821502938559926	0.12347363659886018	-1.1193889901747267	0.2639101747173785	1
subcutaneous	30-39_vs_60-69	thermogenesis_program	tech	male_old_vs_young	293	-0.0781654747770575	0.06528028215202258	-1.1973826123335114	0.23215240453273894	0.7210252594086873
subcutaneous	30-39_vs_60-69	thermogenesis_program	tech	female_old_vs_young	293	-0.21224401430648532	0.10490117474029075	-2.0232758577961474	0.04397795864649661	0.5277355037579593
subcutaneous	30-39_vs_60-69	thermogenesis_program	tech	sex_interaction_female_minus_male	293	-0.13407853952942783	0.12091967719466194	-1.1088231679082483	0.2684412751521662	1
subcutaneous	30-39_vs_60-69	thermogenesis_program	tech_comp	male_old_vs_young	293	0.009245922886010009	0.060449250270362916	0.15295347493404898	0.8785443498592811	1
subcutaneous	30-39_vs_60-69	thermogenesis_program	tech_comp	female_old_vs_young	293	-0.13614940558849356	0.09595284332010398	-1.418919970243004	0.15702664257060958	1
subcutaneous	30-39_vs_60-69	thermogenesis_program	tech_comp	sex_interaction_female_minus_male	293	-0.14539532847450357	0.1100911786831648	-1.3206810047237463	0.18767852052062398	1
subcutaneous	30-39_vs_60-69	adipocyte	base	male_old_vs_young	293	-0.5011760334157669	0.1419556750341599	-3.530510726641714	4.829780067213981e-4	0.0053127580739353785
subcutaneous	30-39_vs_60-69	adipocyte	base	female_old_vs_young	293	-0.5309023786386879	0.2318184199165789	-2.2901647713315274	0.022737184255899417	0.22737184255899417
subcutaneous	30-39_vs_60-69	adipocyte	base	sex_interaction_female_minus_male	293	-0.029726345222921082	0.2706202235471259	-0.10984524671987246	0.912608873800898	1
subcutaneous	30-39_vs_60-69	adipocyte	tech	male_old_vs_young	293	-0.31871484976967707	0.1381544752168272	-2.3069455352023054	0.02177481993882611	0.195973379449435
subcutaneous	30-39_vs_60-69	adipocyte	tech	female_old_vs_young	293	-0.3539212161979697	0.22200527124137945	-1.5942018593475742	0.11199918031006982	1
subcutaneous	30-39_vs_60-69	adipocyte	tech	sex_interaction_female_minus_male	293	-0.03520636642829263	0.2559056731298009	-0.1375755605481837	0.8906730156441587	1
subcutaneous	30-39_vs_60-69	adipocyte	tech_comp	male_old_vs_young	293	4.716672212857223e-18	4.411190803929037e-17	0.10692514612281323	0.9149243912715579	1
subcutaneous	30-39_vs_60-69	adipocyte	tech_comp	female_old_vs_young	293	6.51036279588487e-17	7.002010747385657e-17	0.9297847476620408	0.3532777628722652	1
